ElementId;Type;CenterX_m;CenterY_m;CenterZ_m;SizeX_m;SizeY_m;SizeZ_m;ElementName
1874309;Revit.Elements.FamilyInstance;10.4674170000002;-5.8283670000000285;4.809430994083328;0.33757399999999993;0.33757399999999776;0.17690000000000436;RESERVATION SOL CIRCULAIRE
1874572;Revit.Elements.FamilyInstance;10.680916999999988;-5.828367000000029;4.809430994083328;0.33757399999999776;0.33757399999999993;0.17690000000000436;RESERVATION SOL CIRCULAIRE
1874611;Revit.Elements.FamilyInstance;10.841041999999995;-5.86649200000007;4.809430994083328;0.251564000000001;0.25156399999999884;0.17690000000000436;RESERVATION SOL CIRCULAIRE
1875151;Revit.Elements.FamilyInstance;1.9458999999999937;-4.088342000000023;5.800611999999997;0.16553801183333786;0.2948739999999992;0.2948739999999987;RESERVATION MUR CIRCULAIRE
1875455;Revit.Elements.FamilyInstance;1.997912327237441;-3.803233542240522;5.693375766238526;0.2695626663082291;0.44030163436642983;0.2558339999999986;RESERVATION MUR RECTANGULAIRE
1876461;Revit.Elements.FamilyInstance;7.665961499999999;-5.9841000000000255;5.70789592026406;0.21923399999999943;0.16553801183333625;0.21923399999999943;RESERVATION MUR CIRCULAIRE
1876627;Revit.Elements.FamilyInstance;7.5592115;-5.984100000000023;5.70789592026406;0.21923399999999943;0.16553801183333625;0.21923399999999943;RESERVATION MUR CIRCULAIRE
1876836;Revit.Elements.FamilyInstance;1.945899999999991;-5.763082071352682;5.70789199999999;0.16553801183333705;0.21618400000000002;0.21618399999999893;RESERVATION MUR CIRCULAIRE
1877071;Revit.Elements.FamilyInstance;1.945899999999991;-5.8698320713526755;5.70789199999999;0.16553801183333705;0.21618400000000002;0.21618399999999893;RESERVATION MUR CIRCULAIRE
1877396;Revit.Elements.FamilyInstance;1.5713150692886848;-3.5180126727625574;5.692642000000006;0.39073913436643076;0.2695626663082302;0.21008399999999908;RESERVATION MUR RECTANGULAIRE
1877939;Revit.Elements.FamilyInstance;0.03570435093622744;-3.2366732620099996;4.8094309940833275;0.2030689999999989;0.20306899999999917;0.1769000000000049;RESERVATION SOL CIRCULAIRE
1878189;Revit.Elements.FamilyInstance;0.03570435093622711;-3.3100193034493497;4.8094309940833275;0.20306899999999892;0.2030689999999986;0.1769000000000049;RESERVATION SOL CIRCULAIRE
1878241;Revit.Elements.FamilyInstance;0.059291999999990186;-3.5700249999999993;5.707891999999995;0.2161839999999994;0.16553801183333733;0.21618400000000002;RESERVATION MUR CIRCULAIRE
1878406;Revit.Elements.FamilyInstance;0.059291999999990186;-3.5700249999999993;5.601141999999996;0.2161839999999994;0.16553801183333733;0.21618399999999893;RESERVATION MUR CIRCULAIRE
1878440;Revit.Elements.FamilyInstance;9.810483881205904;-3.865966640895186;4.809849999999996;0.36258399999999796;0.5089839999999987;0.17773801183334084;RESERVATION SOL RECTANGULAIRE
1879246;Revit.Elements.FamilyInstance;0.8570497521771815;-2.417807606280112;4.809849999999995;0.5821839999999989;0.3918639999999988;0.17773801183334031;RESERVATION SOL RECTANGULAIRE
