ElementId;Type;PositionX;PositionY;PositionZ;ElementName;Duration(s)
14462241;Revit.Elements.FamilyInstance;21.495357915742467;6.648669176965004e-10;-0.9157276872985562;Access;
14469584;Revit.Elements.FamilyInstance;21.495357915742623;6.648669176965004e-10;43.24826524989621;Access;
14469599;Revit.Elements.FamilyInstance;21.49535791574278;6.648669176965004e-10;87.41225818709096;Access;
14469614;Revit.Elements.FamilyInstance;21.49535791574294;6.648669176965004e-10;131.57625112428576;Access;
14470106;Revit.Elements.FamilyInstance;77.612774934414;6.648669176965004e-10;-0.9157276872987544;Access;
14470107;Revit.Elements.FamilyInstance;77.61277493441413;6.648669176965004e-10;43.248265249896015;Access;
14470108;Revit.Elements.FamilyInstance;77.61277493441426;6.648669176965004e-10;87.41225818709076;Access;
14470109;Revit.Elements.FamilyInstance;77.61277493441439;6.648669176965004e-10;131.57625112428556;Access;
14470125;Revit.Elements.FamilyInstance;133.73019195308544;6.648669176965004e-10;-0.9157276872989526;Access;
14470126;Revit.Elements.FamilyInstance;133.73019195308555;6.648669176965004e-10;43.248265249895816;Access;
14470127;Revit.Elements.FamilyInstance;133.7301919530857;6.648669176965004e-10;87.41225818709057;Access;
14470128;Revit.Elements.FamilyInstance;133.73019195308584;6.648669176965004e-10;131.57625112428536;Access;
14470142;Revit.Elements.FamilyInstance;189.84760897175684;6.648669176965004e-10;-0.9157276872991342;Access;
14470143;Revit.Elements.FamilyInstance;189.847608971757;6.648669176965004e-10;43.24826524989563;Access;
14470144;Revit.Elements.FamilyInstance;189.84760897175715;6.648669176965004e-10;87.41225818709039;Access;
14470145;Revit.Elements.FamilyInstance;189.8476089717573;6.648669176965004e-10;131.5762511242852;Access;
